order_id,sku_name,sku_id,quantity,sku_mrp,dist_id,amount,order_date,dist_region,sku_category,order_year,order_month,dist_city,dist_state,dist_size_category
7152,Ethanol 1L Can,ETH/1L/C,114,200,TL2348,22800,11/2/2023,South,Ethanol,2023,November,Hyderabad,Telangana,small 
6611,Ethanol 1L Bottle,ETH/1L/B,123,100,RJ4367,12300,1/12/2022,North,Ethanol,2022,January,Jaipur,Rajasthan,small 
4833,Ethanol 1L Bottle,ETH/1L/B,90,100,WB2346,9000,1/29/2022,East,Ethanol,2022,January,Kolkata,West Bengal,large
7395,Propanol 1L Can,PROP/1L/C,116,1300,MH2345,150800,3/6/2020,West,Propanol,2020,March,Mumbai,Maharashtra,small 
6656,Ethanol 3L Drum,ETH/3L/D,158,1500,TL2348,237000,1/8/2024,South,Ethanol,2024,January,Hyderabad,Telangana,small 
6195,Ethanol 1L Can,ETH/1L/C,164,200,PU2675,32800,5/7/2024,North,Ethanol,2024,May,Bhatinda ,Punjab,large
4081,Propanol 1L Bottle,PROP/1L/B,12,3426,MA2350,41112,3/27/2023,West,Propanol,2023,March,Pune,Maharashtra,small 
7297,Butanol 2L Bottle,BUT/2L/B,95,657,WB2346,62415,5/3/2023,East,Butanol,2023,May,Kolkata,West Bengal,large
6941,Propanol 1L Bottle,PROP/1L/B,115,3426,WB2346,393990,10/21/2022,East,Propanol,2022,October,Kolkata,West Bengal,large
5573,Butanol 2L Bottle,BUT/2L/B,77,657,MA2350,50589,6/7/2022,West,Butanol,2022,June,Pune,Maharashtra,small 
4184,Propanol 1L Can,PROP/1L/C,136,1300,RJ4367,176800,1/31/2020,North,Propanol,2020,January,Jaipur,Rajasthan,small 
4414,Ethanol 1L Bottle,ETH/1L/B,76,100,RJ4367,7600,1/30/2021,North,Ethanol,2021,January,Jaipur,Rajasthan,small 
4916,Propanol 1L Can,PROP/1L/C,107,1300,TL2348,139100,7/6/2021,South,Propanol,2021,July,Hyderabad,Telangana,small 
5545,Propanol 3L Drum ,PROP/3L/D,118,1200,WB2346,141600,9/9/2022,East,Propanol,2022,September,Kolkata,West Bengal,large
6469,Ethanol 1L Bottle,ETH/1L/B,144,100,TL2348,14400,3/25/2024,South,Ethanol,2024,March,Hyderabad,Telangana,small 
4562,Ethanol 1L Bottle,ETH/1L/B,115,100,PU2675,11500,12/10/2021,North,Ethanol,2021,December,Bhatinda ,Punjab,large
4498,Ethanol 1L Can,ETH/1L/C,10,200,TN2347,2000,2/23/2022,South,Ethanol,2022,February,Chennai,Tamil Nadu,large
4488,Butanol 2L Bottle,BUT/2L/B,197,657,MA2350,129429,10/31/2024,West,Butanol,2024,October,Pune,Maharashtra,small 
6011,Butanol 2L Bottle,BUT/2L/B,34,657,MH2345,22338,10/17/2021,West,Butanol,2021,October,Mumbai,Maharashtra,small 
6714,Ethanol 1L Bottle,ETH/1L/B,85,100,AS9648,8500,2/10/2024,East,Ethanol,2024,February,Jorhat ,Assam,small 
6453,Propanol 3L Drum ,PROP/3L/D,127,1200,KA2349,152400,5/31/2020,South,Propanol,2020,May,Bangalore,Karnataka,large
4168,Ethanol 1L Can,ETH/1L/C,199,200,RJ4367,39800,11/3/2024,North,Ethanol,2024,November,Jaipur,Rajasthan,small 
5366,Ethanol 3L Drum,ETH/3L/D,177,1500,WB2346,265500,1/23/2023,East,Ethanol,2023,January,Kolkata,West Bengal,large
5501,Propanol 3L Drum ,PROP/3L/D,58,1200,RJ4367,69600,11/30/2020,North,Propanol,2020,November,Jaipur,Rajasthan,small 
5721,Ethanol 1L Can,ETH/1L/C,75,200,TN2347,15000,4/27/2022,South,Ethanol,2022,April,Chennai,Tamil Nadu,large
6148,Propanol 3L Drum ,PROP/3L/D,16,1200,AS9648,19200,2/11/2024,East,Propanol,2024,February,Jorhat ,Assam,small 
7713,Ethanol 3L Drum,ETH/3L/D,144,1500,WB2346,216000,10/23/2021,East,Ethanol,2021,October,Kolkata,West Bengal,large
7461,Butanol 2L Bottle,BUT/2L/B,141,657,PU2675,92637,8/14/2024,North,Butanol,2024,August,Bhatinda ,Punjab,large
7199,Ethanol 3L Drum,ETH/3L/D,172,1500,TN2347,258000,11/29/2023,South,Ethanol,2023,November,Chennai,Tamil Nadu,large
7162,Ethanol 1L Bottle,ETH/1L/B,102,100,RJ4367,10200,7/5/2022,North,Ethanol,2022,July,Jaipur,Rajasthan,small 
4058,Propanol 1L Can,PROP/1L/C,170,1300,TN2347,221000,12/19/2023,South,Propanol,2023,December,Chennai,Tamil Nadu,large
4357,Butanol 2L Bottle,BUT/2L/B,33,657,KA2349,21681,8/4/2023,South,Butanol,2023,August,Bangalore,Karnataka,large
5893,Ethanol 1L Can,ETH/1L/C,131,200,WB2346,26200,5/4/2020,East,Ethanol,2020,May,Kolkata,West Bengal,large
5933,Butanol 2L Bottle,BUT/2L/B,111,657,TL2348,72927,1/25/2022,South,Butanol,2022,January,Hyderabad,Telangana,small 
6069,Ethanol 1L Can,ETH/1L/C,56,200,MH2345,11200,3/1/2024,West,Ethanol,2024,March,Mumbai,Maharashtra,small 
7200,Propanol 1L Can,PROP/1L/C,171,1300,WB2346,222300,1/31/2023,East,Propanol,2023,January,Kolkata,West Bengal,large
7655,Propanol 3L Drum ,PROP/3L/D,166,1200,TL2348,199200,3/19/2024,South,Propanol,2024,March,Hyderabad,Telangana,small 
4197,Propanol 3L Drum ,PROP/3L/D,78,1200,KA2349,93600,6/13/2024,South,Propanol,2024,June,Bangalore,Karnataka,large
5035,Propanol 1L Can,PROP/1L/C,187,1300,MA2350,243100,10/26/2020,West,Propanol,2020,October,Pune,Maharashtra,small 
6996,Propanol 1L Can,PROP/1L/C,122,1300,KA2349,158600,4/17/2022,South,Propanol,2022,April,Bangalore,Karnataka,large
6743,Propanol 1L Can,PROP/1L/C,32,1300,MA2350,41600,7/2/2022,West,Propanol,2022,July,Pune,Maharashtra,small 
4818,Ethanol 1L Can,ETH/1L/C,167,200,TL2348,33400,11/1/2023,South,Ethanol,2023,November,Hyderabad,Telangana,small 
6515,Ethanol 1L Bottle,ETH/1L/B,190,100,TL2348,19000,3/12/2022,South,Ethanol,2022,March,Hyderabad,Telangana,small 
5448,Butanol 2L Bottle,BUT/2L/B,109,657,TN2347,71613,3/2/2022,South,Butanol,2022,March,Chennai,Tamil Nadu,large
7471,Propanol 1L Bottle,PROP/1L/B,63,3426,AS9648,215838,4/8/2020,East,Propanol,2020,April,Jorhat ,Assam,small 
4618,Propanol 1L Bottle,PROP/1L/B,140,3426,AS9648,479640,5/22/2020,East,Propanol,2020,May,Jorhat ,Assam,small 
7388,Ethanol 1L Bottle,ETH/1L/B,120,100,TN2347,12000,2/20/2024,South,Ethanol,2024,February,Chennai,Tamil Nadu,large
4758,Propanol 3L Drum ,PROP/3L/D,142,1200,AS9648,170400,4/14/2023,East,Propanol,2023,April,Jorhat ,Assam,small 
5952,Ethanol 1L Can,ETH/1L/C,68,200,TL2348,13600,12/27/2022,South,Ethanol,2022,December,Hyderabad,Telangana,small 
4422,Propanol 1L Can,PROP/1L/C,50,1300,TN2347,65000,8/13/2023,South,Propanol,2023,August,Chennai,Tamil Nadu,large
7777,Ethanol 1L Can,ETH/1L/C,22,200,PU2675,4400,3/8/2022,North,Ethanol,2022,March,Bhatinda ,Punjab,large
4100,Ethanol 1L Can,ETH/1L/C,104,200,TN2347,20800,11/13/2023,South,Ethanol,2023,November,Chennai,Tamil Nadu,large
6256,Ethanol 1L Can,ETH/1L/C,26,200,KA2349,5200,9/14/2022,South,Ethanol,2022,September,Bangalore,Karnataka,large
4925,Propanol 1L Can,PROP/1L/C,184,1300,AS9648,239200,2/5/2022,East,Propanol,2022,February,Jorhat ,Assam,small 
6362,Propanol 3L Drum ,PROP/3L/D,68,1200,KA2349,81600,9/25/2024,South,Propanol,2024,September,Bangalore,Karnataka,large
7930,Propanol 3L Drum ,PROP/3L/D,161,1200,MH2345,193200,4/4/2023,West,Propanol,2023,April,Mumbai,Maharashtra,small 
4435,Propanol 1L Bottle,PROP/1L/B,113,3426,KA2349,387138,4/11/2023,South,Propanol,2023,April,Bangalore,Karnataka,large
5714,Propanol 1L Bottle,PROP/1L/B,144,3426,PU2675,493344,11/10/2021,North,Propanol,2021,November,Bhatinda ,Punjab,large
4617,Ethanol 3L Drum,ETH/3L/D,175,1500,KA2349,262500,1/26/2021,South,Ethanol,2021,January,Bangalore,Karnataka,large
6471,Propanol 3L Drum ,PROP/3L/D,164,1200,WB2346,196800,5/22/2021,East,Propanol,2021,May,Kolkata,West Bengal,large
5207,Propanol 1L Bottle,PROP/1L/B,20,3426,PU2675,68520,4/3/2021,North,Propanol,2021,April,Bhatinda ,Punjab,large
5597,Ethanol 3L Drum,ETH/3L/D,171,1500,WB2346,256500,6/15/2022,East,Ethanol,2022,June,Kolkata,West Bengal,large
5248,Propanol 1L Bottle,PROP/1L/B,28,3426,RJ4367,95928,1/21/2020,North,Propanol,2020,January,Jaipur,Rajasthan,small 
4084,Propanol 1L Can,PROP/1L/C,97,1300,TL2348,126100,2/1/2022,South,Propanol,2022,February,Hyderabad,Telangana,small 
6554,Propanol 3L Drum ,PROP/3L/D,186,1200,MA2350,223200,10/9/2023,West,Propanol,2023,October,Pune,Maharashtra,small 
5881,Ethanol 1L Can,ETH/1L/C,147,200,TN2347,29400,8/7/2020,South,Ethanol,2020,August,Chennai,Tamil Nadu,large
4155,Ethanol 3L Drum,ETH/3L/D,51,1500,WB2346,76500,9/29/2023,East,Ethanol,2023,September,Kolkata,West Bengal,large
4075,Propanol 3L Drum ,PROP/3L/D,52,1200,AS9648,62400,10/1/2022,East,Propanol,2022,October,Jorhat ,Assam,small 
4582,Ethanol 1L Bottle,ETH/1L/B,188,100,TN2347,18800,1/19/2020,South,Ethanol,2020,January,Chennai,Tamil Nadu,large
4610,Ethanol 1L Bottle,ETH/1L/B,177,100,MH2345,17700,6/17/2024,West,Ethanol,2024,June,Mumbai,Maharashtra,small 
5375,Propanol 1L Can,PROP/1L/C,49,1300,TN2347,63700,3/26/2023,South,Propanol,2023,March,Chennai,Tamil Nadu,large
7892,Ethanol 3L Drum,ETH/3L/D,63,1500,WB2346,94500,11/28/2024,East,Ethanol,2024,November,Kolkata,West Bengal,large
7178,Ethanol 1L Bottle,ETH/1L/B,41,100,KA2349,4100,12/7/2022,South,Ethanol,2022,December,Bangalore,Karnataka,large
7021,Ethanol 3L Drum,ETH/3L/D,60,1500,MA2350,90000,5/12/2024,West,Ethanol,2024,May,Pune,Maharashtra,small 
5932,Propanol 3L Drum ,PROP/3L/D,73,1200,PU2675,87600,8/15/2023,North,Propanol,2023,August,Bhatinda ,Punjab,large
6597,Butanol 2L Bottle,BUT/2L/B,68,657,MH2345,44676,12/11/2020,West,Butanol,2020,December,Mumbai,Maharashtra,small 
7564,Ethanol 3L Drum,ETH/3L/D,40,1500,MA2350,60000,6/1/2023,West,Ethanol,2023,June,Pune,Maharashtra,small 
4688,Propanol 3L Drum ,PROP/3L/D,80,1200,RJ4367,96000,5/12/2020,North,Propanol,2020,May,Jaipur,Rajasthan,small 
7492,Ethanol 1L Bottle,ETH/1L/B,162,100,MA2350,16200,9/30/2020,West,Ethanol,2020,September,Pune,Maharashtra,small 
7089,Butanol 2L Bottle,BUT/2L/B,22,657,TL2348,14454,5/28/2024,South,Butanol,2024,May,Hyderabad,Telangana,small 
5217,Propanol 3L Drum ,PROP/3L/D,192,1200,TN2347,230400,5/28/2021,South,Propanol,2021,May,Chennai,Tamil Nadu,large
7638,Propanol 1L Bottle,PROP/1L/B,125,3426,AS9648,428250,12/29/2021,East,Propanol,2021,December,Jorhat ,Assam,small 
6903,Propanol 1L Can,PROP/1L/C,123,1300,PU2675,159900,8/4/2022,North,Propanol,2022,August,Bhatinda ,Punjab,large
4663,Ethanol 1L Bottle,ETH/1L/B,66,100,MH2345,6600,5/6/2020,West,Ethanol,2020,May,Mumbai,Maharashtra,small 
5326,Propanol 3L Drum ,PROP/3L/D,124,1200,TL2348,148800,7/12/2021,South,Propanol,2021,July,Hyderabad,Telangana,small 
7844,Propanol 3L Drum ,PROP/3L/D,92,1200,MH2345,110400,6/8/2020,West,Propanol,2020,June,Mumbai,Maharashtra,small 
5087,Ethanol 1L Bottle,ETH/1L/B,116,100,AS9648,11600,1/30/2021,East,Ethanol,2021,January,Jorhat ,Assam,small 
7311,Propanol 1L Can,PROP/1L/C,13,1300,RJ4367,16900,6/5/2024,North,Propanol,2024,June,Jaipur,Rajasthan,small 
7537,Ethanol 1L Bottle,ETH/1L/B,163,100,MH2345,16300,3/9/2023,West,Ethanol,2023,March,Mumbai,Maharashtra,small 
7360,Ethanol 1L Can,ETH/1L/C,190,200,PU2675,38000,8/8/2024,North,Ethanol,2024,August,Bhatinda ,Punjab,large
7402,Propanol 1L Bottle,PROP/1L/B,70,3426,AS9648,239820,9/18/2021,East,Propanol,2021,September,Jorhat ,Assam,small 
6637,Butanol 2L Bottle,BUT/2L/B,42,657,MH2345,27594,10/25/2021,West,Butanol,2021,October,Mumbai,Maharashtra,small 
4145,Propanol 1L Bottle,PROP/1L/B,199,3426,AS9648,681774,1/23/2023,East,Propanol,2023,January,Jorhat ,Assam,small 
5451,Propanol 1L Bottle,PROP/1L/B,117,3426,TN2347,400842,10/13/2021,South,Propanol,2021,October,Chennai,Tamil Nadu,large
7598,Propanol 1L Bottle,PROP/1L/B,56,3426,MH2345,191856,2/28/2023,West,Propanol,2023,February,Mumbai,Maharashtra,small 
6838,Propanol 1L Can,PROP/1L/C,11,1300,RJ4367,14300,8/16/2020,North,Propanol,2020,August,Jaipur,Rajasthan,small 
7706,Ethanol 1L Can,ETH/1L/C,23,200,TN2347,4600,3/16/2023,South,Ethanol,2023,March,Chennai,Tamil Nadu,large
7448,Ethanol 1L Can,ETH/1L/C,31,200,KA2349,6200,11/25/2023,South,Ethanol,2023,November,Bangalore,Karnataka,large
5951,Propanol 3L Drum ,PROP/3L/D,191,1200,MA2350,229200,9/20/2021,West,Propanol,2021,September,Pune,Maharashtra,small 
4429,Butanol 2L Bottle,BUT/2L/B,108,657,KA2349,70956,12/5/2020,South,Butanol,2020,December,Bangalore,Karnataka,large
4525,Ethanol 1L Can,ETH/1L/C,154,200,WB2346,30800,4/10/2022,East,Ethanol,2022,April,Kolkata,West Bengal,large
6635,Ethanol 1L Bottle,ETH/1L/B,27,100,TL2348,2700,5/4/2021,South,Ethanol,2021,May,Hyderabad,Telangana,small 
5074,Ethanol 1L Can,ETH/1L/C,151,200,KA2349,30200,12/15/2021,South,Ethanol,2021,December,Bangalore,Karnataka,large
5068,Propanol 1L Can,PROP/1L/C,112,1300,AS9648,145600,7/6/2020,East,Propanol,2020,July,Jorhat ,Assam,small 
6947,Butanol 2L Bottle,BUT/2L/B,92,657,KA2349,60444,12/25/2023,South,Butanol,2023,December,Bangalore,Karnataka,large
6321,Propanol 1L Can,PROP/1L/C,171,1300,AS9648,222300,7/20/2024,East,Propanol,2024,July,Jorhat ,Assam,small 
7228,Ethanol 3L Drum,ETH/3L/D,56,1500,WB2346,84000,7/27/2020,East,Ethanol,2020,July,Kolkata,West Bengal,large
6878,Ethanol 1L Can,ETH/1L/C,11,200,WB2346,2200,9/3/2024,East,Ethanol,2024,September,Kolkata,West Bengal,large
5173,Propanol 1L Bottle,PROP/1L/B,66,3426,MH2345,226116,2/25/2020,West,Propanol,2020,February,Mumbai,Maharashtra,small 
7914,Ethanol 1L Can,ETH/1L/C,11,200,TN2347,2200,3/31/2021,South,Ethanol,2021,March,Chennai,Tamil Nadu,large
7030,Propanol 1L Can,PROP/1L/C,16,1300,WB2346,20800,11/29/2021,East,Propanol,2021,November,Kolkata,West Bengal,large
5966,Ethanol 3L Drum,ETH/3L/D,46,1500,PU2675,69000,10/19/2024,North,Ethanol,2024,October,Bhatinda ,Punjab,large
7487,Ethanol 1L Bottle,ETH/1L/B,168,100,MH2345,16800,7/26/2024,West,Ethanol,2024,July,Mumbai,Maharashtra,small 
5283,Propanol 1L Can,PROP/1L/C,25,1300,MA2350,32500,11/15/2023,West,Propanol,2023,November,Pune,Maharashtra,small 
4956,Ethanol 1L Bottle,ETH/1L/B,113,100,PU2675,11300,1/8/2020,North,Ethanol,2020,January,Bhatinda ,Punjab,large
4991,Butanol 2L Bottle,BUT/2L/B,126,657,KA2349,82782,4/12/2024,South,Butanol,2024,April,Bangalore,Karnataka,large
6069,Propanol 3L Drum ,PROP/3L/D,137,1200,MA2350,164400,9/29/2022,West,Propanol,2022,September,Pune,Maharashtra,small 
5827,Ethanol 1L Bottle,ETH/1L/B,194,100,MA2350,19400,11/2/2023,West,Ethanol,2023,November,Pune,Maharashtra,small 
7422,Propanol 1L Can,PROP/1L/C,53,1300,WB2346,68900,12/27/2020,East,Propanol,2020,December,Kolkata,West Bengal,large
4341,Propanol 1L Can,PROP/1L/C,78,1300,AS9648,101400,2/20/2023,East,Propanol,2023,February,Jorhat ,Assam,small 
4141,Propanol 1L Bottle,PROP/1L/B,17,3426,AS9648,58242,8/29/2020,East,Propanol,2020,August,Jorhat ,Assam,small 
5553,Propanol 1L Can,PROP/1L/C,193,1300,PU2675,250900,2/17/2024,North,Propanol,2024,February,Bhatinda ,Punjab,large
7928,Ethanol 3L Drum,ETH/3L/D,134,1500,AS9648,201000,7/7/2022,East,Ethanol,2022,July,Jorhat ,Assam,small 
4777,Propanol 1L Bottle,PROP/1L/B,126,3426,WB2346,431676,2/2/2020,East,Propanol,2020,February,Kolkata,West Bengal,large
7071,Ethanol 3L Drum,ETH/3L/D,60,1500,KA2349,90000,7/16/2021,South,Ethanol,2021,July,Bangalore,Karnataka,large
5866,Ethanol 1L Can,ETH/1L/C,66,200,KA2349,13200,9/5/2020,South,Ethanol,2020,September,Bangalore,Karnataka,large
5809,Propanol 3L Drum ,PROP/3L/D,175,1200,TN2347,210000,5/11/2020,South,Propanol,2020,May,Chennai,Tamil Nadu,large
6391,Ethanol 3L Drum,ETH/3L/D,152,1500,RJ4367,228000,2/2/2024,North,Ethanol,2024,February,Jaipur,Rajasthan,small 
7642,Ethanol 1L Can,ETH/1L/C,10,200,AS9648,2000,10/1/2022,East,Ethanol,2022,October,Jorhat ,Assam,small 
5420,Ethanol 3L Drum,ETH/3L/D,122,1500,TN2347,183000,6/18/2021,South,Ethanol,2021,June,Chennai,Tamil Nadu,large
4072,Ethanol 3L Drum,ETH/3L/D,116,1500,KA2349,174000,9/15/2020,South,Ethanol,2020,September,Bangalore,Karnataka,large
7449,Propanol 1L Can,PROP/1L/C,186,1300,PU2675,241800,10/24/2021,North,Propanol,2021,October,Bhatinda ,Punjab,large
7857,Ethanol 1L Can,ETH/1L/C,74,200,KA2349,14800,8/2/2020,South,Ethanol,2020,August,Bangalore,Karnataka,large
7510,Propanol 3L Drum ,PROP/3L/D,26,1200,TN2347,31200,7/11/2022,South,Propanol,2022,July,Chennai,Tamil Nadu,large
7255,Butanol 2L Bottle,BUT/2L/B,59,657,AS9648,38763,10/28/2021,East,Butanol,2021,October,Jorhat ,Assam,small 
5731,Propanol 1L Can,PROP/1L/C,63,1300,MH2345,81900,6/5/2023,West,Propanol,2023,June,Mumbai,Maharashtra,small 
6261,Ethanol 1L Bottle,ETH/1L/B,152,100,KA2349,15200,8/11/2020,South,Ethanol,2020,August,Bangalore,Karnataka,large
7501,Ethanol 3L Drum,ETH/3L/D,149,1500,PU2675,223500,9/6/2020,North,Ethanol,2020,September,Bhatinda ,Punjab,large
5349,Propanol 1L Can,PROP/1L/C,18,1300,MA2350,23400,6/5/2023,West,Propanol,2023,June,Pune,Maharashtra,small 
6713,Ethanol 1L Can,ETH/1L/C,99,200,WB2346,19800,4/26/2020,East,Ethanol,2020,April,Kolkata,West Bengal,large
7762,Propanol 1L Can,PROP/1L/C,76,1300,AS9648,98800,6/6/2021,East,Propanol,2021,June,Jorhat ,Assam,small 
7416,Propanol 1L Bottle,PROP/1L/B,89,3426,WB2346,304914,1/3/2020,East,Propanol,2020,January,Kolkata,West Bengal,large
7041,Ethanol 1L Can,ETH/1L/C,129,200,RJ4367,25800,4/26/2024,North,Ethanol,2024,April,Jaipur,Rajasthan,small 
4844,Ethanol 1L Bottle,ETH/1L/B,119,100,MH2345,11900,2/11/2023,West,Ethanol,2023,February,Mumbai,Maharashtra,small 
7577,Propanol 3L Drum ,PROP/3L/D,39,1200,MA2350,46800,12/28/2020,West,Propanol,2020,December,Pune,Maharashtra,small 
7051,Propanol 1L Can,PROP/1L/C,81,1300,MH2345,105300,12/15/2024,West,Propanol,2024,December,Mumbai,Maharashtra,small 
4325,Ethanol 1L Bottle,ETH/1L/B,166,100,RJ4367,16600,6/11/2021,North,Ethanol,2021,June,Jaipur,Rajasthan,small 
